,az,el,datetime(utc)
0,75.21686012332684,-3.9013586372691917,2025-11-27 18:00:35.121
1,75.17805518956449,-3.864618264681061,2025-11-27 18:00:35.219
2,75.17805518956449,-3.864618264681061,2025-11-27 18:00:35.235
3,75.13926415989762,-3.827886109923765,2025-11-27 18:00:35.420
4,75.14878843649993,-3.825495727779512,2025-11-27 18:00:35.520
5,75.11003391103496,-3.824810889763758,2025-11-27 18:00:35.621
6,75.11003391474726,-3.7887955227349286,2025-11-27 18:00:35.722
7,75.11003391474726,-3.7887955227349286,2025-11-27 18:00:35.823
8,75.07129332688848,-3.7521036767665747,2025-11-27 18:00:35.924
9,75.07129332688848,-3.7521036767665747,2025-11-27 18:00:36.025
10,75.08085075803501,-3.7137708386549377,2025-11-27 18:00:36.040
11,75.04214662949283,-3.713103584258701,2025-11-27 18:00:36.126
12,75.04214662949283,-3.713103584258701,2025-11-27 18:00:36.327
13,75.00345646641394,-3.712434880566104,2025-11-27 18:00:36.343
14,75.00345646925116,-3.6764522623148026,2025-11-27 18:00:36.433
15,75.00345646925116,-3.6764522623148026,2025-11-27 18:00:36.532
16,74.96478029882935,-3.6757885751594075,2025-11-27 18:00:36.627
17,74.96478030156065,-3.6398095154864523,2025-11-27 18:00:36.735
18,74.96478030359256,-3.6038275816193184,2025-11-27 18:00:36.835
19,74.97439313615045,-3.5296552824357197,2025-11-27 18:00:36.934
20,74.97439313884247,-3.4936872076519823,2025-11-27 18:00:37.035
21,74.97439314367188,-3.421742813717945,2025-11-27 18:00:37.133
22,74.97439314865369,-3.349787619207685,2025-11-27 18:00:37.235
23,74.97439315393453,-3.277821847275243,2025-11-27 18:00:37.334
24,74.9743931610067,-3.1698538481406366,2025-11-27 18:00:37.436
25,74.97439316894527,-3.0618633161748363,2025-11-27 18:00:37.535
26,74.94537662391683,-2.9514775571495746,2025-11-27 18:00:37.635
27,74.9453766309491,-2.843530779582412,2025-11-27 18:00:37.736
28,74.94537663771554,-2.7355638011747803,2025-11-27 18:00:37.839
29,74.94537664468112,-2.627577383149212,2025-11-27 18:00:37.937
30,74.94537665144757,-2.519572287783877,2025-11-27 18:00:38.038
31,74.94537665829908,-2.41154927880616,2025-11-27 18:00:38.141
32,74.94537666521411,-2.3035091177094413,2025-11-27 18:00:38.243
33,74.95498787434812,-2.194085221966827,2025-11-27 18:00:38.342
34,74.9453766856977,-1.9792933789425728,2025-11-27 18:00:38.543
35,74.94537669286206,-1.8711922655367301,2025-11-27 18:00:38.644
36,74.94537669992725,-1.7630778302353598,2025-11-27 18:00:38.750
37,74.94537670631102,-1.6549508402717859,2025-11-27 18:00:38.850
38,74.94537671327706,-1.5468120642288568,2025-11-27 18:00:38.949
39,74.94537672027636,-1.438662270402094,2025-11-27 18:00:39.050
40,74.94537672957127,-1.2944467363913197,2025-11-27 18:00:39.151
41,74.94537673645414,-1.1862742259223955,2025-11-27 18:00:39.250
42,74.94537674336995,-1.0780932627881754,2025-11-27 18:00:39.350
43,74.94537675021988,-0.9699046177759464,2025-11-27 18:00:39.451
44,74.94537675723565,-0.8617090612606607,2025-11-27 18:00:39.549
45,74.94537676401778,-0.7535073639492951,2025-11-27 18:00:39.651
46,74.94537677043529,-0.6453002979830711,2025-11-27 18:00:39.752
47,74.9453767798623,-0.501017192164233,2025-11-27 18:00:39.852
48,74.98399418392313,-0.3928715676108317,2025-11-27 18:00:39.953
49,74.98399419165254,-0.28463258557411353,2025-11-27 18:00:40.053
50,74.98399419923183,-0.17639157767971334,2025-11-27 18:00:40.155
51,74.97439337452472,-0.06819135263758305,2025-11-27 18:00:40.256
52,74.97439338173072,0.04011900128520304,2025-11-27 18:00:40.357
53,74.97439339170927,0.1845322173990769,2025-11-27 18:00:40.456
54,74.974393399215,0.29284068377487404,2025-11-27 18:00:40.558
55,74.97439340673567,0.4011470520021361,2025-11-27 18:00:40.659
56,74.9743934136412,0.5094505474288782,2025-11-27 18:00:40.758
57,74.97439342139414,0.6177503961888665,2025-11-27 18:00:40.860
58,75.01304720483448,0.7261772786982664,2025-11-27 18:00:40.966
59,75.01304721295172,0.834487092553363,2025-11-27 18:00:41.066
60,75.00345681076675,0.9433808182638858,2025-11-27 18:00:41.167
61,75.00345682101575,1.0878655419535868,2025-11-27 18:00:41.266
62,75.00345682937709,1.1962200974903672,2025-11-27 18:00:41.366
63,75.00345683740709,1.304566089415747,2025-11-27 18:00:41.466
64,75.04214704379636,1.4131580632597274,2025-11-27 18:00:41.567
65,75.04214705232557,1.5215041542585634,2025-11-27 18:00:41.667
66,75.04214706140077,1.6298393572258945,2025-11-27 18:00:41.767
67,75.0421470696132,1.7381628980593062,2025-11-27 18:00:41.868
68,75.0421470788392,1.8464740044580514,2025-11-27 18:00:41.968
69,75.0421470872663,1.9547719054548012,2025-11-27 18:00:42.071
70,75.04214709913741,2.0991472304566106,2025-11-27 18:00:42.168
71,75.04214710806345,2.2074113188252715,2025-11-27 18:00:42.269
72,75.04214711664024,2.3156596331354002,2025-11-27 18:00:42.371
73,75.0808513052753,2.5325618234902723,2025-11-27 18:00:42.572
74,75.08085131496881,2.640777624419342,2025-11-27 18:00:42.671
75,75.08085132451257,2.7489745684348863,2025-11-27 18:00:42.773
76,75.08085133410424,2.8571518895832617,2025-11-27 18:00:42.875
77,75.08085134349774,2.9653088214408063,2025-11-27 18:00:42.976
78,75.08085135293967,3.073444599554127,2025-11-27 18:00:43.078
79,75.08085136258478,3.18155845932786,2025-11-27 18:00:43.176
80,75.08085137187645,3.2896496391107926,2025-11-27 18:00:43.277
