Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
Emlid Base position measured with stick on 27/12 3,,,,,,,-67.78684811,-22.95982291,5182.155,Global,"3,7",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 10:31:47.8 UTC-03:00,2025-11-27 10:31:47.8 UTC-03:00,1,1.2,1.3,,,,-67.78685015,-22.95982209,5183.606,0.303,,SC globale,10,7,6,6,0,Reach RS3,824351435C6D6A75
Emlid Base position measured with stick on 27/12 4,,,,,,,-67.78685217,-22.95982239,5182.151,Global,"2,6",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:31:54.8 UTC-03:00,2025-11-27 10:31:54.8 UTC-03:00,1,1.2,1.3,,,,-67.78685015,-22.95982209,5183.606,0.306,,SC globale,10,6,6,6,0,Reach RS3,824351435C6D6A75
Target 28,,,,,,,-67.78668969,-22.95977665,5182.196,Global,"6,4",0.013,0.013,0.012,0.018,1.734,m,FIX,RTK,2025-11-27 10:32:40.4 UTC-03:00,2025-11-27 10:32:40.4 UTC-03:00,1,1.2,1.3,,,,-67.78685015,-22.95982209,5183.606,17.183,,SC globale,10,6,6,6,0,Reach RS3,824351435C6D6A75
Target 22,,,,,,,-67.78644615,-22.95954786,5184.584,Global,"3,6",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:33:47.4 UTC-03:00,2025-11-27 10:33:47.4 UTC-03:00,1,1.2,1.3,,,,-67.78685015,-22.95982209,5183.606,51.393,,SC globale,10,6,6,6,0,Reach RS3,824351435C6D6A75
Target 30,,,,,,,-67.78615878,-22.95976424,5182.495,Global,"2,5",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:34:43.0 UTC-03:00,2025-11-27 10:34:43.0 UTC-03:00,1,1.2,1.3,,,,-67.78685015,-22.95982209,5183.606,71.175,,SC globale,10,6,6,6,0,Reach RS3,824351435C6D6A75
Target 40,,,,,,,-67.78566996,-22.95969450,5182.966,Global,"2,1",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:36:16.0 UTC-03:00,2025-11-27 10:36:16.0 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,121.896,,SC globale,10,6,6,6,0,Reach RS3,824351435C6D6A75
Target 6,,,,,,,-67.78602626,-22.96023251,5178.136,Global,"3,5",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 10:37:39.0 UTC-03:00,2025-11-27 10:37:39.0 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,96.023,,SC globale,10,6,6,6,0,Reach RS3,824351435C6D6A75
Target 23,,,,,,,-67.78624488,-22.96006424,5179.296,Global,"2,8",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:39:12.8 UTC-03:00,2025-11-27 10:39:12.8 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,67.775,,SC globale,10,6,6,6,0,Reach RS3,824351435C6D6A75
Target 33,,,,,,,-67.78654392,-22.96005231,5180.212,Global,"4,2",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 10:39:52.6 UTC-03:00,2025-11-27 10:39:52.6 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,40.642,,SC globale,10,6,6,6,0,Reach RS3,824351435C6D6A75
Target 13,,,,,,,-67.78688838,-22.96012802,5181.139,Global,"4,9",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 10:41:10.8 UTC-03:00,2025-11-27 10:41:10.8 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,34.092,,SC globale,9,6,6,7,0,Reach RS3,824351435C6D6A75
